Timestamp,Username,Which partner(s) do you represent?,What partner role do you have?,Which WPs are you involved in?,"Do you mainly work with SME Industry, Large Industry, University, or Research Institute",Please select your experience in the key areas of the project: years of experience in DevOps,Please select your experience in the key areas of the project: years of experience in MDE,Please select your experience in the key areas of the project: years of experience in AI,"Which solution(s) were you involved in developing, integrating, or using?",In which domain(s) are you applying or developing solutions?,Main achievements on the project level for your solutions?,"Can you describe one to three key challenges you have overcome in developing, using, or integrating the solutions? How did you overcome them?","Can you describe the issues you encountered, if any? How did you overcome them, if so?","Is the AIDOaRt architecture clear and understandable? (e.g., all components are well described)","Is the AIDOaRt architecture easy to use and explore? (e.g., easy to relate your UC requirements or solutions to the architecture components)",Do you believe the architecture can be easily extended or used outside the scope of the AIDOaRt project? ,"Please, provide any justifications about the previous answers, and any comments or suggestions about the architecture. ","Has the way we organized the architecture helped ensure quality in your solutions/use cases developed? (e.g.,  collecting requirements and KPI, and mapping requirements, solutions, and components)",Any comment on the previous question?,"Did the mapping collected within the architecture help identify potential collaborations? (i.e., looking for solutions/requirements mapped to the same architecture components instead of an exhaustive search across the large set of solutions and requirements)",Any comment on the previous question?,Has the AIDOaRt iterative architecting process helped to provide quality in the implemented solutions/tools?,Any comment on the previous question?,Did formalizing/defining the requirements and capabilities/interfaces help define the scope of the solution?,Any comment on the previous question?,"Was it helpful to have requirements mapping to achieve desired outcomes (e.g., KPIs)?",Any comment on the previous question?,Have you developed any solution/tool in AIDOaRt?,"If yes, what are your experiences of developing this solution?",Have you integrated a solution/tool in AIDOaRt?,"If yes, what are your experiences of integrating this solution?",Have you used any solution/tool in AIDOaRt?,"If yes, what are your experiences of using this solution?","What are your experiences, good or bad, on working with ""Modeling and Model-Driven Engineering"" in AIDOaRt?  (e.g., on the use of model-based and model-driven methodology and techniques, modelling activities, …)","What are your experiences, good or bad, on working with ""Requirements Engineering"" in AIDOaRt?  (e.g., model-based requirement engineering process adopted in WP1, …)","What are your experiences, good or bad, on working with ""Continuous Software and System Engineering"" in AIDOaRt? (e.g., DevOps phases)","What are your experiences, good or bad, on working with ""Intelligence and Automation"" in AIDOaRt? (e.g., adoption of new AI methods, applications, training, ...) ","What are your experiences, good or bad, on working with ""Data"" in AIDOaRt?  (e.g., formats and standards, data availability, AIDOaRt data model, training, ...) ","What are your experiences, good or bad, on working with ""AIDOaRt framework"" in AIDOaRt  (e.g., how AIDOaRt framework facilitate development of solutions, integration, adoption of specific or innovative solutions, ...) ?","Overall, based on your experiences in AIDOaRt, what could be done better in any future project?","Did AIDOaRt lead to new ideas or new potential collaborations? Please describe briefly how you reached this collaboration, and on a high-level, what you consider collaborating on."
2024/03/13 1:20:46 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit,Research Institute,3-5 years,1-3 years,3-5 years,xxxxxx,Construction;Manufacturing,Industrial applications;Cooperations or collaborations;Publications,"1)* Lack of real data*. To solve this problem, we, with the help of other partners, are creating synthetic data that mimic the actual UCPs data.

2) Combine different solutions. The main solution that I worked on was based on the EMF technology stack, while some other partners' solutions were not. To pass through it, we need to add extra layers of development to convert and transform the data and help with the integration.

3) *Publish results in scientific conferences*. It was hard to convince external evaluators of the value of the combined solution without the whole context of the AIDOaRt project (due mostly to space limitations). We overcame this challenge by collaborating to adjust and refine the final papers and reports.",,4,3,5,,3,,5,,4,,2,,3,,Yes,Developing a solution in the context of a project like AIDOaRt is an experience different from other development environments since it needs to be aligned with too many partners and attend to the desired UCP's KPIs simultaneously.,No,,Yes,"Besides the solution that was developed, I also used some of the other partners' (SPs) tools, which demonstrated the project's value to help in collaboration for huge projects.","I learned a lot about MDE during my work on the AIDOaRt project and use cases. Now, I'm much more informed about its potential applications in real cases, especially when dealing with huge projects.",I didn't work directly with RE during AIDOaRt project,I didn't work directly with Continuous Software and System Engineering during AIDOaRt project.,"My experience and knowledge about AI and automation increased greatly during my work with AIDOaRt, and I had no bad experience with this subject.","I think the Data collection was done well, but it lacks some real data from UCP to enable better integration work.","Although I didn't contribute directly to the framework definition, I think it was a good job since all the information (and there is a lot of information) was correctly gathered and made available both internally to the partners and externally.",I think the data collection from use cases can be improved by establishing a minimum amount of data that UCP should provide to the SP to enable and improve the work dealing with real scenarios coming directly from the project's industrial partners.,"After the work with AIDOaRt, there's clear room for work combining MDE and AI in many different ways. So, future work will probably go in this direction.

The main collaboration in my perspective (being the developer of IMTA solutions) is to keep the collaboration achieved during the Hackathon, both with other SP partners and also UCP partners."
2024/03/13 3:25:41 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation,Research Institute,3-5 years,None,5-10 years,xxxxxx,Manufacturing,Technological achievements;New knowledge,#NOME?,,3,3,3,,3,,2,,3,,4,,3,,Yes,It has been a great experience working with the UC provider as we constantly got the feedback to improve and define the solution,Maybe,,No,,N/A,The use case requirements in WP1 led to the development and refinement of the tool developed for UC provider.,N/A,A great experience. The proposed AI methods in different UC solutions provided by multiple solution provider increase the pool of knowledge.,The AIDOaRt datamodel helped understanding the collection of logs/events from CPS. Also the data metamodel gave an holistic view of the data collection and representation phase.,The framework helped in understanding the complete picture of solutions proposed in AIDOaRt and how they should be linked to core infrastructure of AIDOaRt. ,,"Yes, it led to collaborating with other PhD students in joint publications."
2024/03/13 3:31:31 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit,University,1-3 years,15-20 years,None,xxxxxx,Construction;Manufacturing;many MDE solutions are domain-agnostic,New knowledge;Cooperations or collaborations;Publications,"Challenge 1: Defining an appropriate engineering workflow that allows previously isolated tools to interoperate. Many solutions are academic tools with potential limitation to be discovered in challenging industrial settings. From a technical, modeld-driven perspective, the solution consists in identifying one or more common technological context/space (Ts). For JKU, this TS is the Eclipse Modeling Framework and related technologies, we worked on promoting the integration through EMF.

Challenge 2: Organizational challenges are pivotal. For the development and integration of solutions, the presence of stable teams is crucial. Typically, research outcomes from PhD students constitute the academic system and technical contributions in EU projects. Consequently, the development, utilization, and integration of such solutions are at a higher risk due to the transitory nature of these positions. While this issue is somewhat addressed at the project level, it invariably leads to complications in the medium to long term.

",See the answer to the previous question,3,3,3,"Is the AIDOaRt architecture clear and understandable? (e.g., all components are well described) : From a design-level perspective, it is understandable, given my previous knowledge of UML. 

Is the AIDOaRt architecture easy to use and explore? (e.g., easy to relate your UC requirements or solutions to the architecture components). Modelio helps in surfing the information. However, given the nature of the AIDOaRt framework as a collection of existing/extended solutions, the overall architecture and related documentation is only descriptive and can be subject to erosion when changes will come after the end on the project 

Do you believe the architecture can be easily extended or used outside the scope of the AIDOaRt project? AIDOaRt is an extensive framework encompassing numerous solutions. I anticipate that an expansion could apply to a subset of the AIDOaRt solutions that have contributed to resolving a specific use case. However, it is improbable that an expansion would pertain to the entire AIDOaRt project.
",3,"It helps to provide an overview as a descriptive artifact. As such, it cannot help in specific technical tasks since it remains too generic and too big.",5,"Definitely, it helps to justify collaborations in AIDOaRt",2,"As explained above, it helps to provide a unifying viewpoint and establish potential relationships. A direct impact on the implementation can only be achieved with prescriptive models/artifacts that can be used directly in the implementation process (e.g., code generation). This is not the case, and it is actually not meant to be a prescriptive model.",2,See above,2,see above,Yes,"My experience is on using technologies related to the Eclipse Modeling Framework, in particular, metamodel(ing), model(ing), and model transformations for integration purposes",Yes,A good experience in particular if related to the VCE Use Case as documented in the related publication https://www.researchgate.net/publication/378148318_Towards_Automating_Model-Based_Systems_Engineering_in_Industry_-_An_Experience_Report,Yes,See the publication https://www.researchgate.net/publication/378148318_Towards_Automating_Model-Based_Systems_Engineering_in_Industry_-_An_Experience_Report,Very Good,Not so good,Good,Fair,n.a.,Good (limited to the VCE Use Case and related/integrated tools),"The AIDOaRt framework is too big. Explicit integration points should be clearly stated at the very beginning and related utilities be implemented for easier integration. Without those capabilities, many tools remained unrelated, resulting in islands of tools rather than a connected network ",Sure. We are participating in follow-up projects like AIDOSec.
2024/03/14 5:06:50 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,University,1-3 years,1-3 years,5-10 years,xxxxxx,Digital Life,Technological achievements;Improvements in competence or experience;New knowledge;Cooperations or collaborations;Publications,"One of the main challenges was to handle complexity and ambiguity in natural language understanding. To overcome this challenge, in ReqH iterative refinement of the developed algorithms helped improve the accuracy and robustness of the translation process. One challenge in NNVer's development was optimizing the effectiveness of ""step-zero object detection"" networks alongside intricate NNs. This was overcome through rigorous experimentation, parameter tuning, and collaborative refinement to ensure compatibility and reliability.",,5,5,5,"The clarity and understandability of the AIDOaRt architecture depend on how well its components are described and documented. I think that all components are clearly defined and their interactions are well-explained, thus users should be able to comprehend the architecture easily.",5,,5,,5,,5,,5,,Yes,"Developing solutions within the AIDOaRt framework provided a structured approach, facilitating integration with other components.",Yes,Collaboration with the use case was crucial for ensuring integration. ,Yes,,"MDE provided benefits like abstraction for focusing on system behavior, tool support for productivity, and improved communication among stakeholders.",Requirements Engineering in AIDOaRt was crucial for eliciting and documenting the needs of UC and solution providers. ,"It fosters rapid iteration and deployment cycles, enhancing agility and system reliability. However, challenges may arise in maintaining synchronization between development, testing, since it requires robust coordination and automation strategies for optimal outcomes.","Leveraging Intelligence and Automation has brought positive outcomes through the adoption of new AI methods and applications, enhancing solution capabilities and efficiency.","It helped to establish formats and protocols for data, thus facilitating collaboration.",AIDOaRt framework serves as a foundational structure that both facilitates and guides the development of solutions.,,"Yes, AIDOaRt has stimulated the emergence of new ideas and potential collaborations  through hackathons events and continuous interactions. Potential collaborations include joint research projects, technology transfer partnerships, knowledge sharing initiatives, and consortium building. "
2024/03/18 4:44:18 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,University,1-3 years,1-3 years,1-3 years,xxxxxx,Automotive,Industrial applications;Technological achievements;New knowledge;Technical speed-up;Publications,"One of the main challenges when using passive learning is identifying and mitigating limitations of the used algorithms. More specifically, in the RDE use case of AVL we were challenged by the fact that only a small number of (albeit long) data traces is available. This is a case in which the performance of learning algorithms such as IOAlergia deteriorates. To overcome this problem, we developed a novel method that uses domain knowledge to split the learning problem into smaller problems with more but shorter data traces. This is done in a way that allows recombining the solutions of the sub problems into a solution for the overall problem.

A common challenge related to the use and integration of active automata learning is developing a suitable abstraction of the system under learning (SUL). Such an abstraction needs to be weak enough to cover interesting behavior while being strong enough to keep learning tractable by avoiding redundant exploration of similar and uninteresting behaviors. This also applies to the MBT use case of AVL in which we model the behavior of an Advanced Driver-Assistance System (ADAS) in response to changes of the environment. In this case the abstraction has to avoid violations of the operational domain of the ADAS function, including safety violations caused by environment-controlled vehicles. This was achieved by encoding domain constraints and caching violations. This also requires interaction with the simulation environment, which is a non-negligible engineering effort.",,3,2,3,"It appears to me, that the granularity of the AIDOaRt framework is not overly consistent. At times it is extremely abstract while other aspects are covered in much more detail. Take for example data handling which has its own tool set while also being sported in the core and AIOPS Engineering tool sets, where the differences are not clearly delineated. The formalisms and models of AI in contrast are referenced directly only in Engagement & Analysis and indirectly in AI DevOps Engineering.",2,,4,,1,Requirements were known beforehand,3,,3,,Yes,"Our vision for the tool was relatively clear. Therefore, the development process was also relatively straight forward.",Maybe,"For AVL's MBT UC, we integrated AALpy with a simulation environment from the automotive domain. This required carefully choosing the right level of abstraction for active automata learning methods to be applicable as well as some engineering effort for hooking together AALpy and the simulation environment. As usual, the abstraction process required some iterations. The engineering part was relatively smooth.",Yes,,"The use of Modelio was mostly pleasant. However, it could have been utilized better. We sometimes rereported things that were either already present in Modelio or where the data in Modelio could have served as a baseline. At times the models got a bit too contrived (in relation to visualization capabilities) to see what is present in the model and what not and how things relate to each other.",I was not involved.,None.,We mainly developed and applied our own methods.,Limited data availability and quality was definitely an issue.,"The relation to the AIDOaRt framework was often trivial, since we knew what we wanted to implement and specified that in the framework beforehand.",,Not really.
2024/03/22 10:46:07 am EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,Research Institute,5-10 years,1-3 years,5-10 years,xxxxxx,Railway;Manufacturing,Industrial applications;Improvements in competence or experience;New knowledge,real problem application,,4,4,4,,4,,4,,4,,4,,4,,Yes,,Maybe,,Maybe,,Not really related,Not related,Application of real industrial problem,Good application in real industrial context.,Good use of industrial data.,Good overview of different tools and use cases.,,Identified new idea for future work 
2024/03/22 11:16:23 am EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,"In AIDOaRt we work mainly with UNISS (University) and INT (Large enterprise), but our partners can vary a lot depending on the research project. ",1-3 years,1-3 years,1-3 years,xxxxxx,Automotive,Technological achievements;Improvements in competence or experience;New knowledge;Cooperations or collaborations,"Academic tools often do not meet the the company needs or way of working. Different sessions with UNISS have been carried out, to iterate on our respective needs and find a trade-off among academic and industrial world.

 ","The usage of FPGAs boards is not straightforward, since it required a long learning curve.  We are still working on them. ",3,3,5,,4,,5,,4,,3,"I honestly still do not understand the purpose and usage of the so called ""functional interfaces"" defined in AIDOaRt",2,"Actually not, requirements are not always mapped directly to KPIs ",No,,Yes,,Yes,,"Neutral. It wasn't really necessary to use a model in our UC, but working on it helped us to better understand the UC needs and information flow","Good. It forced us to really think about our needs. Also, the solutions we exploited are related to requirements verification, thus really on topic. ",Neutral,Good. This is really the core of our UC. ,Neutral. It wasn't really a need for our UC,Neutral,I didn't really like the micro-management approach based on microtasks. I found it not compliant with our normal way of working.,"Yes, activities and collaborations in AIDOaRt led to new EU project proposals currently ongoing. "
2024/03/22 12:36:52 pm EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider;Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation,Large Industry,3-5 years,10-15 years,3-5 years,xxxxxx,Automotive;Railway,Industrial applications;Technological achievements;Improvements in competence or experience;Cooperations or collaborations,"Understanding the key challenges of the use case provider, overcome lack of data, evaluation criterias of concrete solution and industrial requirement - Strategies to overcome challenges: No specific ones except continous workshops (incl. hackathon challenges); definition of mitigation strategies in case of delays to minimize impact and ensure positive outcome; application of synthetic data where applicable",,3,3,4,Purpose of architecture is interpreted sometimes differently by partners and/or reviewers. ,3,,4,,4,,4,,4,,Yes,"Despite AVL was not a primarily solution provider, the collaboration as a solution provider with ALSTOM offers good insights in other domains and was very helpful to enhance the potential application field of AVL solutions.",Yes,Integration of AVL solution in other domains than traditional AVL domains (i.e. automotive) enhances AVLs knowledge about other domains (e.g. railway),Yes,Positive experiences as we ended up with very good PoC which are now entering several exploitation activities.,"Good Experience, as it helped to structure the project","Good experience, at it supports the discussion with partners and also the coordination of finding partners",N/A,"Very good experience, as this was the very core of all AVL Use Cases and Solutions","Difficult, as lack of data is a common issue if working with AI - synthetic das partially mitigate this issue","Partly good, at it helps to structurize the solutions and to find cross- and horizontal dependencies to other use cases",Horizontal collaboration nevertheless remain limited and should be more in the focus already in the starting phase of the project,"Absolutely, most beneficial example is the cross- and horizontal collaboration between AVL and VCE in sharing similar challeges. Also the collaboration with ALSTOM was not planned at the beginning of the project but evolved during the application of the AIDOaRt framework. Similar significant numbers of partner approached AVL and participated in their use cases, which have not been planned from the very beginning."
2024/03/25 2:50:37 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation,Research Institute,3-5 years,3-5 years,10-15 years,xxxxxx,Automotive,Technological achievements;New knowledge;Cooperations or collaborations,Application of machine learning approaches in industry: fitting the approach to the requirements,,4,4,4,,5,,4,,3,,4,,5,,Yes,,No,,Yes,,good: overview is accessible,good: requirements engineering on a model basis,-,good: generative AI is a promising new technology,-,The framework helped in finiding use case providers and therefore on defining the requried solution and its development.,,In fact we picked up generative AI for the automotive sector for test scenario parameter recommendation recuding the effort of ADAS testing significantly.
2024/03/26 4:21:36 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation,SME Industry,3-5 years,5-10 years,10-15 years,xxxxxx,Railway;Digital Life,Industrial applications;Technological achievements;Improvements in competence or experience;New knowledge;Technical speed-up;Cooperations or collaborations;Publications,Acquiring data of sufficient volume and quality. This has been overcome by fine-tuning the model on multiple data sources and curating personal datasets that are carefully crafted with the high quality.,,5,5,5,,5,,5,,5,,5,,5,,Yes,,Yes,,Yes,,Great.,Great.,Good.,Great.,Data availability with the right amount and quality is challenging.,The AIDOaRt framework facilitated the integration within use cases and with other solutions.,,AIDOaRt helped us identify and realize various collaborations on three use cases and to exchange with several other solution providers. This would surely be resumed in subsequent common research project on other subjects and application domains.
2024/03/26 4:59:16 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP4 - AIDOaRT AI-augmented toolkit,University,3-5 years,3-5 years,3-5 years,xxxxxx,Construction,Industrial applications;Publications,"We encountered two challenges in developing MORGAN, i.e., promoting the adoption of modeling practices in an industrial context, and supporting automation through the combination of MBSE practices and AI-based tools. To address the former, we propose a solution architecture that combines different solutions to increase interoperability using system modeling languages such as SysML or AutomationML. This enables domain experts to unify artifacts via shared models. To address the second challenge, we combine  MORGAN with the MER plugin to capture the modeling context thus providing modeling recommendations tailored to the modelers' active context. 
","We encountered two challenges in developing MORGAN, i.e., promoting the adoption of modeling practices in an industrial context, and supporting automation through the combination of MBSE practices and AI-based tools. To address the former, we propose a solution architecture that combines different solutions to increase interoperability using system modeling languages such as SysML or AutomationML. This enables domain experts to unify artifacts via shared models. To address the second challenge, we combine  MORGAN with the MER plugin to capture the modeling context thus providing modeling recommendations tailored to the modelers' active context. 
",4,5,4,The overall architecture was helpful to work collaboratively on the project. ,4,,3,"In this respect, hackathons were more helpful in finding new collaborations ",4,,4,,3,"In this respect, the KPI have been changed over the time due to the run-time constraints raised during the actual development",Yes,"The overall experience was good. Even though we adopt an existing solution, we applied MORGAN in an industrial use case, thus harnessing the practicality of the approach.  ",Yes,"Overall, we integrated the solution in VCE use case, combine it with another tool developed in the context of the project, i.e., MER tool proposed by JKU SP. ",No,,Good,Good,We didn't work in this specific aspect of the project,Good,"Bad, the data was not available in the developed use case",Good,Focusing on collecting data before devising the solutions can improve the process ,"Yes, the collaboration was reached during the hackathons. Althogether, we forseen different 
 future  collaborations in AI applied on industrial domain. "
2024/03/29 12:09:16 pm EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,SME Industry,30+ years,10-15 years,1-3 years,xxxxxx,Automotive,Industrial applications;Improvements in competence or experience,"For using solutions, we changed the software development tools from propritary to free Eclipse-based. ",,4,4,4,The component view of AIDOaRt architecture was modeled following the WP2-WP3-WP4 organization.  ,4,,4,,4,The previous question doesn't apply to use case providers. ,4,The previous question doesn't apply to use case providers. ,4,,No,"TEKNE is a use case provider: it collaborated to solutions with requirements and validation, but it didn't developed any solution/tool. ",No,"The question is not clear (see also the next question): TEKNE used solutions in its use case, integrated solutions in its development process, but it didn't ""integrated a solution/tool in AIDOaRt"" because it is a use case provider. ",Yes,"TEKNE integrated in its use case the solutions of UCAN, UNIVAQ and ROTECH: good experiences for the support it received from the solution providers. ",Good. ,Some aspects could be improved.,Good. ,Good. ,Good. ,Very good. ,Early evaluation of more fruitful ways to follow. The task leader should be the main editor of all deliverables of the task. ,"The main idea that TEKNE followed is about testing in wide sense: early (from modeling phase for correcteness and performance) and automated (for models, for units, at run-time).  In other projects, TEKNE already collaborated with ROTECH and UNIVAQ. The latter previously had collaboration with UCAN, and showed to TEKNE the complementary of their tools. 
TEKNE consider to continue the collaboration with these three partners, with a progressive usage of the tools in its industrial development process as well as in other reserch projects. "
2024/04/02 1:00:55 pm EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider;Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,SME Industry,3-5 years,5-10 years,5-10 years,xxxxxx,Digital Life,Industrial applications;Improvements in competence or experience;Technical speed-up,"In developing the AI for requirements analysis in HI Iberia Requirements analysis (work corresponding to requirement HIB_R02) we had to work with very limited text to process for a NLP-intensive application (categorising requirements according to several cateories, assigning to developers). In total we had less than 200 base requirements to train the system, which yielded bad results.","The main issue we had is bad classification of the new requirements (assignment to wrong categories or wrong developers). We tried to overcome this by using new requirements in the model training process generated using ChatGPT (as done in the collaboration with MDU in the Linz Hackathon). The results were not completely satisfactory, but the new avenue for research was opened and we expect to delve upon it in the final months of AIDOaRt.",4,3,4,The architecture is extremely abstract which is very good for extensibility (it is not tied to any particular usage or use case) but makes it a bit imprecise to adapt to concrete problems: new developments can be easily mapped but how the AIDOaRt approach helps is often difficult to pinpoint. It can nevertheless be adapted to concrete scenarios in the future (so extensibility is good) but there are few lessons learned from the architectural point of view.,4,"The structure is pretty clear and as mentioned, makes for easy extensions to the approach.",2,"No, the collaborations are better spotted from inspecting the details of the solutions and use cases. Mapping to particular elements in the architecture can help to find related elements, but always from a very high abstraction level which is often not so useful.",4,"Iterative approaches are often very helpful in unexplored environments so it has worked well in a complex project such as AIDOaRt, we have appreciated it. It also helped much to understand the MDE derived process with Modelio: the first months seemed like training but now changes to the model would be much faster.",3,"Since the architecture is defined from a very high abstraction level, the interfaces are defined also in a very generic manner. It is difficult to combine this approach with the more hands-on work on the software that is often required, e.g., to formalize concrete APIs and interfaces between components.",4,"Very useful from the project point of view, not so useful perhaps from an operational point of view (e.g., for a commercial product).",Yes,"It was similar to producing test/evaluation solutions to our commercial software. Small, incremental features were developed and then tested in more realistic environments.",Maybe,"We have developed some solutions (one effectively registered as an AIDOaRt solution [HIB_logAnalyzer], others as experiments not fully modelled in Modelio). The experience has been quite similar, Modelio did not add any difficulty (or benefit) to the solution that was integrated there. If we have used cross-partner solutions we feel like the experience would have been different, with Modelio modelling and adherence to the AIDOaRt architecture providing a good baseline to describe the collaboration.",Yes,"We used Modelio as a generic MDE tool and the experience was good but not necessarily useful for products in the scale of an SME, although we feel it may be very useful for larger products in which there is for example a large family of related variants.

We also used our own solutions to solve our own challenges.","It's been very interesting from the perspective of a company that usually does not use MDE, but from a production standpoint it didn't feel like it added any benefit other than clarity documenting the process. The learning curve was quite steep in the beginning and it clearly required a large effort from the side of the developers of Modelio as well as our own developers.","We proposed a tool (HIB Requirements Analyzer) that was built informally insde that part of the architecture. It wasn't fully modelled in Modelio.

The experience was good, by clearly placing our solution in the overall architecture we ensured two collaborations (one informal with RISE, other exemplified in a challenge in the Linz Hackathon with MDU). They approached us because they understood our problem in the overall AIDOaRt landscape as something in the Requirements Engineering position.",AIDOaRt is oriented towards these DevOps phases but we feel they are used a common theoretical framework but less rigidly than in other projects in which we have done R&D on DevOps. This makes for easier integration.,"We have used strongly AI techniques in all of our solutions and we have felt that AIDOaRt has been a good environment to work in the field. Good ideas and teams are abundant and the hackathon and F2F meeting enabled us to have interesting collaborations. We are also impressed by the considerable knowledge captured in the state of the art study in WP3, which is a good starting point to find solutions.","We feel like work in this are has been way less intense during AIDOaRt that other aspects (AI, DevOps, MDE, etc.). Not a lot of emphasis has been put on common data representations or joint generation of datasets.",We feel like this has been empowered quite late in the project (by the production of the catalog in the final months). We believed this is a key result and tried to instantiate it earlier -- we pushed for it quite hard during the production of D5.2 but it wasn't agreed to be produced at that stage.,"The project maybe has felt a bit like 'islands of research' rather than a unified effort. This approach is useful because you let the teams work at their own pace and generate interesting detailed results, but maybe a separate track to produce a 'AIDOaRt integrated prototype' that encapsulated a bit more comprehensively the results, integrating efforts from several of these 'islands' could have been useful. Even if it was solving a quite artificial problem it could have been an exemplary result that made easier to understand what is AIDOaRt as a whole.","We produced a useful collaboration with MDU in the last Hackathon in Linz that we could take further, using generative AI to produce requirements for NLP model training. This could be a solution for many SMEs to enlarge otherwise small datasets. This could be extended in the future."
2024/04/02 3:15:35 pm EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation,SME Industry,None,None,1-3 years,xxxxxx,Automotive,Technological achievements;Cooperations or collaborations,Configuration of radar sensors and modelling the configuration properties (including description and restrains) that can be used for automated testing process. This was solved together with solution provider (ABO) after many iterations and experiments.,Power measurement accuracy sorted out by smart synchronization of radar control and current measurement data collection.,3,3,4,,3,,3,,3,,4,,4,,No,,Yes,It was quite easy thank to good definition of API.,Yes,It was all automated so it was easy.,We got a new valuable experience from the area of modelling and MDE (modelling our radar configuration approach).,Requirements engineering regarding our radar configuration approach were quite important part that speed up development of our UC.,We applied this approach during iterations of integration ABO solution together with our radar configuration approach. This helped us to finally solve some issues we had on both sides.,Intelligence automation was another part of radar configuration solution together with STGEM solution in order to test as many hypothesis as possible.,"We have just a little data that we provided to STGEM solution, but these were very crucial. Common data format definition at the beginning was very important as well.",AIDOaRt framework was very important during the whole development process of our UC (including use of STGEM for radar configuration).,,"Collaboration with ABO was very important (applied for contribution on our broadcast request). With their STGEM solution, we were able to get lower power consumption of the radar with the same quality."
